company_name,sector,industry,market_cap,business_summary,risks,strategy
Bangkok Dusit Medical Services Public Company Limited,Healthcare,Medical Care Facilities,298769612800,"Bangkok Dusit Medical Services Public Company Limited, together with its subsidiaries, operates hospitals in Thailand and internationally. It operates through Hospital Operations; and Other Businesses That Support Hospital Business segments. The company operates hospitals under the Bangkok Hospital Group, Samitivej Hospital Group, BNH Hospital, Phyathai Hospital Group, Paolo Hospital, China Transitional Care Hospital, and Royal Hospital Group names; and BDMS Wellness Clinic. It also offers medical laboratory, holistic clinical wellness, accounting, technology and information, training, investment and asset management, air transportation and ambulance, skin and aesthetics telemedicine, and genomic medicine services; operates hotels and pharmacies; provides health insurance and insurance brokerage services; retails medicine and pharmaceutical products; and distributes health products and cosmetic products, as well as facility management services. In addition, the company is involved in production and distribution of medicines, pharmaceutical products, medical equipment, and saline; real estate; e-commerce; and investment and operation of BDMS silver wellness and residence products. Bangkok Dusit Medical Services Public Company Limited was founded in 1969 and is headquartered in Bangkok, Thailand.",,
Central Pattana Public Company Limited,Real Estate,Real Estate - Diversified,237863993344,"Central Pattana Public Company Limited invests in, develops, and manages real estate properties in Thailand. It develops and rents shopping centers, office buildings, condominiums, and residential buildings; offers property management consulting and corporate services; and sells land, houses, and condominium units. The company also offers utility services for shopping centers, and food center and education services; and sells food and beverages. In addition, the company operates play land, water theme parks, and hotels; and manages real estate investment trust, condominium juristic person, and housing estate juristic person. Central Pattana Public Company Limited was founded in 1980 and is headquartered in Bangkok, Thailand.",,
The Siam Cement Public Company Limited,Industrials,Conglomerates,220799991808,"The Siam Cement Public Company Limited, together with its subsidiaries, operates in the cement and building materials, chemicals, and packaging businesses in Thailand and internationally. It operates through SCG Cement and Green Solutions; SCG Smart Living and SCG Distribution and Retail; SCG Decor; SCG Chemicals; SCGP; and Other segments. The SCG Cement and Green Solutions segment produces cement, ready-mixed concrete, precast and post-tension, industrial solutions, waste management and 3D printing services, and advanced materials. The SCG Smart Living and SCG Distribution and Retail segment manufactures building materials, including roofing tiles, board and wood substitutions, landscape products, thermal insulation, and autoclaved aerated concrete, as well as housing-related products and services, such as solar solutions, air ventilation and ventilation systems, modular home building services, and end-to-end roofing solutions. This segment also distributes and retails cement, building materials, and other home and living products, as well as provides international supply chain solutions; and invests in logistics business. The SCG Decor segment produces and distributes ceramic tiles, sanitary ware, and related products, services, and solutions. The SCG Chemicals segment manufactures and sells olefins, polyolefins, vinyl, other chemical products, as well as provides industrial services and solutions. The SCGP segment engages in the integrated packaging of fiber packaging, packaging paper, consumer and performance packaging, and medical supplies and labware; and recycling of packaging material. This segment is also involved in the fibrous business comprising foodservice packaging, and pulp and paper products. The Other segment engages in the clean energy, pertinent technologies, and investment in other businesses. The Siam Cement Public Company Limited was founded in 1913 and is headquartered in Bangkok, Thailand.",,
TMBThanachart Bank Public Company Limited,Financial Services,Banks - Regional,187868643328,"TMBThanachart Bank Public Company Limited provides various commercial banking products and services to individuals, large-sized and medium-sized business, small-size business, and corporate customers primarily in Thailand. It operates through Commercial Banking and Retail Banking segments. The company offers basic, current, transactional, international, cash concentration, corporate liquidity, multi-currency, and savings accounts; term, foreign currency, and other deposits; working capital, personal, home, auto, long-term, corporate, and credit with collateral loans, as well as letter of guarantee and supply chain solutions; and debit, credit, and corporate cards. It also provides payment and collection, liquidity management, international transaction, agency, investment banking and advisory, business payment, hire purchase, finance lease, trade finance, foreign currency, and digital and internet banking services. In addition, the company offers international money transfer, trade-import, and trade-export services; foreign exchange risk management services; mutual funds; and bancassurance and business protection, life and health, savings and retirement, motor, accident, travel, credit life, and critical illness insurance products, as well as online insurance services. The company was formerly known as TMB Bank Public Company Limited and changed its name to TMBThanachart Bank Public Company Limited in May 2021. TMBThanachart Bank Public Company Limited was founded in 1957 and is headquartered in Bangkok, Thailand.",,
CP Axtra Public Company Limited,Consumer Defensive,Food Distribution,168928116736,"CP Axtra Public Company Limited engages in the wholesale and retail businesses of food and non-food products in Thailand, Malaysia, and internationally. The company operates through Wholesale, and Retail and Mall segments. It offers general consumer goods, including fresh food, dry goods, and non-food products through operators in the retailing and hospitality industries under the Makro brand name through its online platform and wholesale stores. The company also invests in retail business and mall management activities; manages lease spaces in shopping centers; and provides warehouse management, freight, delivery rental, and storage services. In addition, it is involved in the importing and trading of frozen and chilled food products; operation of restaurants; and commercial space management activities. The company was formerly known as Siam Makro Public Company Limited and changed its name to CP Axtra Public Company Limited in June 2023. CP Axtra Public Company Limited was founded in 1988 and is headquartered in Bangkok, Thailand.",,
Charoen Pokphand Foods Public Company Limited,Consumer Defensive,Farm Products,160054345728,"Charoen Pokphand Foods Public Company Limited, together its subsidiaries, operates in the agro-industrial and integrated food businesses in Thailand and internationally. It operates in two segments, Livestock Business and Aquaculture Business. The company produces and sells swine, chicken, duck, pigs, shrimp, and fish feed; and breeds and farms swine, broiler, layer, duck, and shrimp. It is involved in the animal feed raw materials distribution, investment and international trading, food products wholesale and retail, property investment, property lease-out, shrimp hatchery, and animal feedmill businesses. In addition, the company produces and distributes elite seeds, pet food, chlortetracycline, aquatic feed, and sea food products; and imports and distributes eggs, fresh and processed meat, milk products, frozen fruit, and ready meals. Further, it provides economic and trade consulting, management and advisory, financial guarantee, biological waste management, information technology, food research and development, and financial services. Additionally, the company engages in the operation of food processing plants, slaughterhouses, and training centers; agricultural and livestock farming; chicken integration business; provision and development of Asian food products; and swine farm construction activities. It also exports its products. The company Limited was incorporated in 1978 and is headquartered in Bangkok, Thailand.",,
PTT Oil and Retail Business Public Company Limited,Energy,Oil & Gas Refining & Marketing,158400004096,"PTT Oil and Retail Business Public Company Limited, together with its subsidiaries, engages in the commercial and retail marketing of petroleum products and other services in Thailand and internationally. The company operates through Mobility Business, Lifestyle Business, and Global Business segments. It is involved in the lube oil blending and bottling, and other fuel-related services; oil and retail business; human resources management services; management consultancy services; real estate business; and health and beauty business. The company also invests in companies, which engages in the management of fuel stations, space management in fuel stations, and personnel services. In addition, it operates Cafe Amazon stores, convenience stores, virtual bank operations, and food and beverage retail stores. The company was incorporated in 2007 and is headquartered in Bangkok, Thailand. PTT Oil and Retail Business Public Company Limited operates as a subsidiary of PTT Public Company Limited.",,
Minor International Public Company Limited,Consumer Cyclical,Lodging,127574482944,"Minor International Public Company Limited, together with its subsidiaries, operates as a hospitality, restaurant, and lifestyle company in Thailand, Australia, New Zealand, Europe, the United States, Maldives, the Middle East, and internationally. It operates through three segments: Hotel, Mixed use and others, and Restaurant. The company operates hotels, entertainment venues, food and beverage outlets, property rental business, spa services, and management operations, as well as real estates for sales, distribution, and manufacturing. In addition, the company is involved in the shopping mall, food and beverage sale, supply chain management, distribution, management, vacation club point sale, entertainment, franchise, airport lounge, and healthcare businesses; property investment, development, and sales activities; operation of shopping mall and school; and manufacture and sale of cheese and ice-cream. The company was formerly known as Royal Garden Resorts Plc. and changed its name to Minor International Public Company Limited in 2005. The company was founded in 1978 and is headquartered in Bangkok, Thailand.",,
Bumrungrad Hospital Public Company Limited,Healthcare,Medical Care Facilities,124411912192,"Bumrungrad Hospital Public Company Limited owns and operates hospitals in Thailand and internationally. It offers services in the areas of allergy, arrhythmia, behavioural health, breast, home, heart valve, robotic surgery, rehabilitation, spine, paediatrics, colorectal surgery, complex coronary artery intervention, comprehensive sleep, cornea transplant, dental, diagnostic, dialysis, radiology and nuclear medicine, digestive disease, ear, nose, throat, emergency, endocrinology, esperance, diabetes, expatriate liaison, eye, fertility, gastrointestinal motility, health screening, holistic wound care, horizon regional cancer, hyperbaric oxygen therapy, nephrology, neuroscience, orthopaedics, perinatal, plastic surgery, pulmonary, refractive surgery, memory, robotic scoliosis, skin, sports medicine and joint, surgery, travel medicine, urology, scientific wellness, skin and aesthetic, and women's centers. The company also operates breastfeeding, Yangon, COVID-19 recovery, IVF, hearing and balance, medical, new life healthy aging, Parkinson's disease and movement disorders, pride, surgery, and vaccine clinics and centers. In addition, it operates spine institute, heart institute, and intensive care unit; and offers nutrition services, pharmacy services, preventive genomics and integrative medicine services. Further, the company offers clinical research, hospital consulting and management, healthcare personnel development and training, healthcare referral, and digital platform services. Additionally, it is involved in the distribution of pharmaceutical and medical goods in specialized stores; development of software for healthcare services; holding of real estate assets; and manufacture and sale of vitamin supplements. Bumrungrad Hospital Public Company Limited was founded in 1975 and is based in Bangkok, Thailand.",,
Central Retail Corporation Public Company Limited,Consumer Cyclical,Department Stores,117604499456,"Central Retail Corporation Public Company Limited operates as a multi-format retailing business in Thailand, Italy, Vietnam, and internationally. It operates through three segments: Fashion, Food Products, and Hardline. The company engages in fashion business under department store format; food retailing and wholesaling, such as supermarket and convenience store; and hardline retailing products, including consumer electronic, construction material, home products, stationery supplies, books, and office equipment. It is also involved in investing; computer system development; trademark services; E-commerce; pet food and gadgets retail and services; renting warehouse; stationary retail and franchisor; office equipment retail; manufacturing and distributing of furniture; consultation service and distribution center; E-bookstore; hypermarket; real estate; importing and selling; and health care retail. Central Retail Corporation Public Company Limited was founded in 1947 and is headquartered in Bangkok, Thailand. Central Retail Corporation Public Company Limited operates as a subsidiary of Central Group",,
Thai Life Insurance Public Company Limited,Financial Services,Insurance - Life,109347504128,"Thai Life Insurance Public Company Limited provides life insurance products and services in Thailand. The company offers basic ordinary life insurance, including endowment, whole life, term life, and annuity insurance products; investment-linked insurance products, such as universal life and unit-linked insurance products; and industrial life insurance. It also provides insurances for life after retirement, savings and tax deductions, children, health, accident, estate planning, elderly, critical illness, and sustainability. In addition, the company offers other services comprising Thai Life Insurance Hotline services; medical second opinion, a medical second opinion and consulting service for appropriate additional treatment guidelines; telemedicine service, an online consulting service for common illnesses; international claims solution; and Thai Life Insurance Medicare, a 24-hour service to facilitate the advance payment of medical expenses for the insured. It sells its products through commercial banks, government banks and organizations, leasing and hire-purchase companies, consumer credit companies, and other channels. The company was founded in 1942 and is headquartered in Bangkok, Thailand. Thai Life Insurance Public Company Limited is a subsidiary of V.C. Property Company Limited.",,
Global Power Synergy Public Company Limited,Utilities,Utilities - Regulated Electric,97985593344,"Global Power Synergy Public Company Limited, together with its subsidiaries, engages in the production and distribution of electricity, steam, cooling, and water for industrial, government, and industrial customers in Thailand. It operates through three segments: Independent Power Producer, Small Power Producer, and Others. The company generates electricity through solar, wind, hydropower, and thermal power plants. It owns and operates 4,005 megawatts (MW) of power generation; 3,294 tons of steam; 7,472 cubic meters of industrial water; and 15,400 refrigerated tons of chilled water. Global Power Synergy Public Company Limited was founded in 2013 and is headquartered in Bangkok, Thailand.",,
PTT Global Chemical Public Company Limited,Basic Materials,Chemicals,91529633792,"PTT Global Chemical Public Company Limited operates as a chemical company in Thailand and internationally. It operates through 6 segments: Upstream, Intermediates, Polymers and Chemicals, Bio and Circularity, Performance Chemicals, and Service and Others. The company offers refinery and shared facilities, which includes liquefied petroleum gas, light naphtha, reformate, jet fuel, diesel, and fuel oil; olefins comprising ethylene, propylene, butadiene, raffinate, butene, and pyrolysis gasoline; and aromatics including benzene, toluene, paraxylene, cyclohexane, orthoxylene, and mixed xylenes. It also provides phenol, bisphenol A, acetone; ethylene oxide; ethylene glycol; purified terephthalic acid, propylene oxide, acrylonitrile, and methyl methacrylate; hexamethylene diisocyanate, polyether and polymer polyols, premix polyols, and industrial coating resins; and green chemicals. In addition, the company offers polymers including high and low density polyethylene, linear low density polyethylene, polypropylene, polyethylene, terephthalate, polystyrene, and rotomolding and polypropylene compounds; methyl ester, glycerin, fatty alcohol, fatty alcohol, ethoxylate, and oleochemicals; and ethanolamine. Further, the company engages in the marketing and sales of products and packaging market development; technical, engineering, plant maintenance, safety, occupational health, environmental, and security businesses; and social enterprise and management consultancy. Additionally, it provides logistics, jetty, utilities, and infrastructure; liquidity management and financing, venture capital investment, and outsourcing; and transportation, packaging, and warehouse management services. It serves packaging, electronic and electronic equipment, automotive, agriculture, chemicals, construction, home, and personal applications. The company was incorporated in 2011 and is headquartered in Bangkok, Thailand.","1. Operational and Safety Risk: As the core business involves large-scale industrial plants, the Company must maintain safety standards, production stability, and energy efficiency to prevent unexpected production shutdowns. 2. Cyber Threat Risk: Risks arising from diverse cyberattacks against Information Technology (IT) and Operational Technology (OT) systems, which could impact data security and production processes. 3. Sustainable Feedstock Risk: The volume of gas in the Gulf of Thailand is trending downwards, impacting costs and competitiveness; this necessitates management to source alternative feedstocks and import from overseas. 4. Decarbonization Implementation Risk: Challenges in driving carbon reduction projects to achieve Net Zero goals through Efficiency-driven, Portfolio-driven, and Compensation-driven approaches, including the utilization of CCS technology and clean energy. 5. Regulatory and Consumer Trend Risk: Stricter environmental regulations, such as the draft Climate Change Act and plastic management policies, as well as new fuel price structures that may impact costs and competitive potential.","The Company is committed to Innovation Management to support research and the creation of innovations that enhance competitiveness and reduce environmental impacts. Strategies are defined in three formats: 1) Strengthening the Core: Upgrading technology to increase competitiveness, such as through Process Innovation and Product Innovation; 2) Striving the Growth: Exploring opportunities in new businesses and continuously developing innovations; and 3) Sustaining the Future: Seeking future business opportunities that address market needs, such as sustainable composite materials and carbon capture. This includes promoting Open Innovation through investments in Corporate Venture Capital (CVC) and creating an innovation ecosystem to support the circular economy and low-carbon businesses."
Indorama Ventures Public Company Limited,Basic Materials,Chemicals,85902647296,"Indorama Ventures Public Company Limited, together with its subsidiaries, manufactures and distributes petrochemical products in Thailand, the United States, Brazil, and internationally. It operates through three segments: Combined PET, Indovinya, and Fibers. The Combined PET segment manufactures and distributes polyethylene terephthalate (PET) value chain comprising paraxylene, purified terephthalic acid, PET, and recycling; PET packaging consisting of preforms, bottles, and closures; and specialty PET-related chemicals, such as purified isophthalic acid and naphthalene dicarboxylate, as well as PET flakes, resins, and recycled polyester yarns.; and ethylene, purified ethylene oxide (PEO), ethylene glycol derivatives. The Indovinya segment offers specialty chemical solutions including home and personal care, crop solutions, coatings, and energy and resources; supply ethylene oxide to the Combined PET business; and manufactures and distributes integrated downstream surfactants. The Fibers segment offers polyester, rayon, nylon, polypropylene, composites, and worsted wool fibers; polyolefin and bicomponent fibers; fibers for automotive textiles including nylon 6.6, composite fibers, rayon and aramid for the home, apparel, hygiene and medical, automotive, and industrial/technical markets. The company also provides feedstock products. The company was formerly known as Beacon Global Limited and changed its name to Indorama Ventures Public Company Limited in March 2009. The company was incorporated in 1994 and is headquartered in Bangkok, Thailand. Indorama Ventures Public Company Limited is a subsidiary of Indorama Resources Ltd.",,
TISCO Financial Group Public Company Limited,Financial Services,Banks - Regional,85269807104,"TISCO Financial Group Public Company Limited, together with its subsidiaries, provides commercial banking products and services for individuals and businesses in Thailand. The company operates through four segments: Commercial Banking Business, Securities Business, Asset Management Business, and Support Business. It accepts deposit products, such as special and standard current accounts, savings accounts, and term and recurring deposit products. The company also provides personal loans, such as home loan, new and used car loans, and loans against inheritance pension, and refinance home loans; and corporate loans, including project and long-term loans, short term loans, and guarantee products. In addition, it offers investment services, such as brokerage services, derivative brokerage, provident funds, and mutual funds; and insurance products comprising life, health and critical illness, personal accident, car, lifestyle, and home insurance. Further, the company provides investment banking services, including financial advisory services for merger and acquisition, company valuation, tender offer, and financial advisory and underwriting service for the initial public offering, privatization advisory and implementation, project financing, debt restructuring, feasibility study, project valuation, and general advisory services; and cash management, private banking, and wealth and asset management services. Additionally, it offers mobile banking, bill payment, and cross bill payment, assets for sale, car auction, and hire purchase services. TISCO Financial Group Public Company Limited was founded in 1969 and is based in Bangkok, Thailand.",,
Home Product Center Public Company Limited,Consumer Cyclical,Home Improvement Retail,83014402048,"Home Product Center Public Company Limited operates as a home improvement retailer in Thailand, Malaysia, and Vietnam. The company trades in various goods and materials for construction, addition, refurbishment, renovation, and improvement of buildings, houses, and residences; and offers related services to retail businesses. It also provides installation, maintenance, warehousing management and distribution, and other services; and utilities services. In addition, the company rents and leases space; and engages in the wholesaling of construction and home improvement products. Home Product Center Public Company Limited was founded in 1995 and is headquartered in Nonthaburi, Thailand.",,
Bangkok Expressway and Metro Public Company Limited,Industrials,Railroads,81629429760,"Bangkok Expressway and Metro Public Company Limited, together with its subsidiaries, provides construction and management of expressways in Thailand. It operates through four segments: Expressway Business, Rail Business, Commercial Development Business, and Others. The company engages in the construction and operation of expressway; and operation of rapid transit systems. It provides retail space for rental; and advertising media and telecommunication services, which includes inside and outside underground train stations and on expressway. In addition, it involved in the metro services and commercial development. Bangkok Expressway and Metro Public Company Limited was founded in 1998 and is headquartered in Bangkok, Thailand.",,
