,company,title,areas,value,value_trans,z_by_company
66488,Airports of Thailand Public Company Limited,Critical Components of Airport Business Model Framework: Evidence from Thailand,"['Computer Science (miscellaneous)', 'Geography, Planning and Development', 'Renewable Energy, Sustainability and the Environment', 'Environmental Science (miscellaneous)', 'Energy Engineering and Power Technology', 'Hardware and Architecture', 'Computer Networks and Communications', 'Management, Monitoring, Policy and Law']",0.6046164631843567,3.7369699979847493,3.6964484435300227
68226,Airports of Thailand Public Company Limited,Governance mechanism of state enterprises in Thailand: the roles of the board of directors and the firm’s performance,"['Sociology and Political Science', 'Public Administration']",0.44950443506240845,3.1410685707081623,3.1011275847021746
68550,Airports of Thailand Public Company Limited,Technical efficiency and productivity change analysis: A case study of the regional and local airports in Thailand,"['Geography, Planning and Development', 'Transportation', 'Urban Studies']",0.5585126876831055,3.579791796700037,3.5394233761367873
71935,Airports of Thailand Public Company Limited,"Bangkok, Thailand",['Social Sciences (all)'],0.42868077754974365,3.0446177446295692,3.0047707276995275
72881,Airports of Thailand Public Company Limited,"Geographic information system and integrated spatial analysis on area selection for weee collection site at buriram province, thailand","['Environmental Engineering', 'Information Systems']",0.4391769766807556,3.0938008647132236,3.0539059301806657
74042,Airports of Thailand Public Company Limited,A study of criteria for air cargo terminal classification model,"['Management Information Systems', 'Management Science and Operations Research', 'Information Systems and Management']",0.4642816185951233,3.2068284939486884,3.1668234400702686
76732,Airports of Thailand Public Company Limited,Airport Business Model Innovations for Local and Regional Airports: A Case of Cultural Entrepreneurship in Thailand,"['Economics, Econometrics and Finance (all)', 'Business, Management and Accounting (all)']",0.643844723701477,3.859604656054351,3.81896362242079
78780,Gulf Development Public Company Limited,Standardized the natural gas data for Thailand's sustainable goal,['Energy (all)'],0.5661585330963135,3.606902575962375,3.2737829344996174
81067,Gulf Development Public Company Limited,Challenge of Renewable Energy Transition towards Krabi's Sustainable Energy City,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.49109309911727905,3.320785816261343,3.00139879490452
81215,Gulf Development Public Company Limited,Analyzing impact of changing fuel-mix composition of Thailand power generation,"['Environmental Science (all)', 'Energy (all)', 'Earth and Planetary Sciences (all)']",0.5408486723899841,3.5154767537201437,3.186745237182459
85745,Gulf Development Public Company Limited,Does Thailand fulfill the ASEAN requirements for foreign direct investment under partial liberalization in electricity industry?,['Law'],0.5311940312385559,3.4792996612955354,3.152304520730106
87203,Gulf Development Public Company Limited,Crucial factors in shaping strategies for Thai energy business in the dynamic era,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.5694767236709595,3.618534958362129,3.2848570025643786
90319,Gulf Development Public Company Limited,Plausible Scenarios for Thai Energy Businesses in the Next 30 Years,"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Energy Engineering and Power Technology', 'Economics and Econometrics']",0.5772922039031982,3.645619715726905,3.3106417847583867
90675,Gulf Development Public Company Limited,Feasibility Study of Fuel Oil and Coal Replacement with Natural Gas in Thailand Context,"['Energy (all)', 'Economics, Econometrics and Finance (all)']",0.5422903299331665,3.5208157619701543,3.191827991404861
91567,Gulf Development Public Company Limited,Does Thailand Fulfill the ASEAN Requirements for Foreign Direct Investment under Partial Liberalization in Electricity Industry?,['Social Sciences (all)'],0.5278581976890564,3.466626797253806,3.140239910562498
92833,Gulf Development Public Company Limited,Energy risk management and cost of economic production biodiesel project,"['Energy (all)', 'Economics, Econometrics and Finance (all)']",0.4948264956474304,3.3361295402537516,3.016006072934035
97996,Kasikornbank Public Company Limited,Social Commerce's Operation Activities Patterns in Thailand,['Computer Science Applications'],0.42027491331100464,3.004374216496423,3.0396446842046467
115832,Kasikornbank Public Company Limited,Airport Business Model Innovations for Local and Regional Airports: A Case of Cultural Entrepreneurship in Thailand,"['Economics, Econometrics and Finance (all)', 'Business, Management and Accounting (all)']",0.420566201210022,3.0057817334626264,3.0410997535315256
117536,SCB X Public Company Limited,"Are Internet message boards used to facilitate stock price manipulation? Evidence from an emerging market, Thailand","['Accounting', 'Finance', 'Economics, Econometrics and Finance (miscellaneous)']",0.3659510016441345,2.7245380916016235,3.11326725358701
117546,SCB X Public Company Limited,Social Commerce's Operation Activities Patterns in Thailand,['Computer Science Applications'],0.3895443081855774,2.850445089844219,3.246680090353628
118358,SCB X Public Company Limited,Opportunities and Barriers to the Adoption of Blockchain-Based Games in an Online Gaming Company in Thailand,['Engineering (all)'],0.3633655905723572,2.710308484894468,3.0981893609887203
118753,SCB X Public Company Limited,Stockify: A Web Application of Fundamental Stock Analysis for New Investors,"['Artificial Intelligence', 'Computer Science Applications', 'Computer Vision and Pattern Recognition']",0.39954113960266113,2.9017264847350934,3.3010185819484996
119026,SCB X Public Company Limited,"Mapping the Thai Entrepreneurial Ecosystem: Constraints, Trends, Entrepreneurial Intention and Initiative",['Physics and Astronomy (all)'],0.4334012567996979,3.066881842235753,3.4760195355008476
119172,SCB X Public Company Limited,The future of digital donation crowdfunding,['Multidisciplinary'],0.3474223017692566,2.6205882745222104,3.0031205566479366
120022,SCB X Public Company Limited,Digital financing for SMEs' recovery in the post-COVID era: A bibliometric review,"['Renewable Energy, Sustainability and the Environment', 'Urban Studies', 'Public Administration']",0.388821542263031,2.846690884860151,3.242702081635139
120934,SCB X Public Company Limited,Decentralized lending and its users: Insights from compound,"['Finance', 'Economics and Econometrics']",0.38314342498779297,2.8169752829532957,3.2112150094155116
122928,SCB X Public Company Limited,“The Netflix effect” in Thailand: Industry and regulatory implications,"['Human Factors and Ergonomics', 'Information Systems', 'Electrical and Electronic Engineering']",0.3636462688446045,2.7118575285963633,3.0998307496123068
124638,SCB X Public Company Limited,Organization Capital and Expected Returns in Service and Non-Service Firms: Evidence from Thailand,"['Finance', 'Economics and Econometrics']",0.3894502818584442,2.8499570555698543,3.2461629623314283
126001,SCB X Public Company Limited,Incubation framework for a new startup: A case study in Thailand,"['Strategy and Management', 'Management Science and Operations Research', 'Control and Systems Engineering', 'Industrial and Manufacturing Engineering']",0.37935417890548706,2.7969231794259715,3.189967516805421
126298,SCB X Public Company Limited,Business model and market designs for solar prosumer on peer to peer energy trading in Thailand,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.3506423830986023,2.6389869616788793,3.022616065877878
127334,SCB X Public Company Limited,Challenges and factors affecting patent valuation: The case of Thailand 4.0,['Social Sciences (all)'],0.3800167143344879,2.800442128417983,3.193696244946145
130219,SCB X Public Company Limited,MEASUREMENT OF CHATBOT ACCEPTANCE FOR BUSINESS INCUBATION IN THAILAND,"['Management Information Systems', 'Business and International Management', 'Computer Science Applications', 'Management of Technology and Innovation']",0.3587356507778168,2.684605875106213,3.0709545119968515
130545,SCB X Public Company Limited,Promoting open education and MOOCs in Thailand: A research-based design approach,['Social Sciences (all)'],0.34943079948425293,2.632081038191721,3.0152984516405836
131464,SCB X Public Company Limited,Patent valuation techniques: Practical uses in Thailand,"['Business and International Management', 'Economics and Econometrics', 'Strategy and Management', 'Management of Technology and Innovation']",0.37539565563201904,2.77578318082987,3.16756727518808
131697,SCB X Public Company Limited,Drivers and Challenges of Peer-to-Peer Energy Trading Development in Thailand,"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Engineering (miscellaneous)', 'Energy Engineering and Power Technology', 'Energy (miscellaneous)', 'Control and Optimization', 'Electrical and Electronic Engineering']",0.35730454325675964,2.676603516554427,3.0624750996518735
132236,SCB X Public Company Limited,DETERMINANTS OF THE MARKET VALUE OF LISTED FIRMS IN THE SERVICES SECTOR: A CASE OF THAILAND,"['Economics, Econometrics and Finance (miscellaneous)']",0.35093748569488525,2.640665973528541,3.024395170589727
132851,SCB X Public Company Limited,University business incubators best practice: Factors affecting Thailand UBI performance,"['Business and International Management', 'Economics and Econometrics', 'Strategy and Management']",0.3650137782096863,2.7193899142888465,3.1078121720660308
132952,SCB X Public Company Limited,Key success factors and framework of fundraising for early-stage startups in Thailand,"['Business and International Management', 'Strategy and Management']",0.46423476934432983,3.206623411458758,3.624091679420428
133450,SCB X Public Company Limited,International investment arbitration in Thailand: Limiting contract-based claims while maintaining treaty-based abbrev isds,"['Business and International Management', 'Political Science and International Relations', 'Economics, Econometrics and Finance (all)', 'Law']",0.36015114188194275,2.6924940085430893,3.0793128897939264
133618,SCB X Public Company Limited,Thai MOOC sustainability: Alternative credentials for digital age learners,['Computer Science (all)'],0.3838294446468353,2.8205865282799447,3.215041536058297
134625,SCB X Public Company Limited,Information Quality of Investment Services with Social Media,"['Information Systems', 'Education', 'Computer Networks and Communications']",0.3929704427719116,2.868155144336995,3.265445914669606
135123,SCB X Public Company Limited,"Sending Money Back Home: Banking Digitalization, Myanmar Migrant Workers, and the Thailand-Myanmar Border Trade","['Geography, Planning and Development', 'Development', 'Political Science and International Relations']",0.3633594810962677,2.7102747555974855,3.0981536209484095
136885,PTT Exploration and Production Public Company Limited,Analyzing problems affecting the performances of public-private partnership transportation projects - Case studies in Vietnam,['Multidisciplinary'],0.3953322172164917,2.8802812116805465,3.034688998757938
137430,PTT Exploration and Production Public Company Limited,Standardized the natural gas data for Thailand's sustainable goal,['Energy (all)'],0.41853806376457214,2.9959621662702314,3.1535658823344295
145853,PTT Exploration and Production Public Company Limited,Crucial factors in shaping strategies for Thai energy business in the dynamic era,"['Environmental Science (all)', 'Earth and Planetary Sciences (all)']",0.39559227228164673,2.8816123387362245,3.036056900990286
148969,PTT Exploration and Production Public Company Limited,Plausible Scenarios for Thai Energy Businesses in the Next 30 Years,"['Renewable Energy, Sustainability and the Environment', 'Fuel Technology', 'Energy Engineering and Power Technology', 'Economics and Econometrics']",0.3908819556236267,2.8573764063604834,3.0111514001529374
149325,PTT Exploration and Production Public Company Limited,Feasibility Study of Fuel Oil and Coal Replacement with Natural Gas in Thailand Context,"['Energy (all)', 'Economics, Econometrics and Finance (all)']",0.42088961601257324,3.0073433906046008,3.1652615368607395
150215,PTT Exploration and Production Public Company Limited,Developing a commercialisation model for innovative products and processes in a petroleum firm,"['Business and International Management', 'Strategy and Management', 'Management Science and Operations Research']",0.4534286856651306,3.1587439963433384,3.3208449018636683
175984,CP ALL Public Company Limited,Customers’ satisfaction toward drugstore facilities and services based on the good pharmacy practice standard in Thailand,"['Pharmacy', 'Pharmaceutical Science']",0.3528401255607605,2.6514626470857174,3.069979010500041
177266,CP ALL Public Company Limited,THE INFLUENCE OF CORPORATE IMAGE AND MARKETING MIX ON CONSUMER MOTIVES: AN EMPIRICAL STUDY OF MK RESTAURANTS,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.37711086869239807,2.7849673126070615,3.224470661338325
182541,CP ALL Public Company Limited,"Leadership, trust, proximity to government, and community-based enterprise development in rural Thailand","['Geography, Planning and Development']",0.36150071024894714,2.699989967048998,3.1261348440254713
184322,CP ALL Public Company Limited,Assessment potential of community enterprises to enhance their sustainable competitive advantage in Thailand,"['Business, Management and Accounting (all)']",0.36249974370002747,2.7055234000047323,3.1325381347928465
188385,CP ALL Public Company Limited,Service marketing strategies and performances of tourism and hospitality enterprises: implications from a small border province in Thailand,"['Business and International Management', 'Strategy and Management', 'Marketing']",0.36864131689071655,2.739252427252621,3.1715693782355165
188562,CP ALL Public Company Limited,Competition law in Thailand: in transition to an operational law,['Social Sciences (all)'],0.3427046537399292,2.593373414510027,3.0027581279825477
188815,CP ALL Public Company Limited,Determination of Factors in Cultural Dimensions and SERVQUAL Model Affecting the Corporate Image of Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.3792153000831604,2.79618485054513,3.237451600600828
192225,CP ALL Public Company Limited,Identification and validation of decision factors for selecting smart food packaging technology: A case of thailand’s food industry,['Psychology (all)'],0.36204084753990173,2.702983310190431,3.129598741872333
192629,CP ALL Public Company Limited,The Impact of Wisdom and Pharmaceutical Care on the Corporate Identity of Thai Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.3968817889690399,2.888201010348032,3.343932736493992
201128,True Corporation Public Company Limited,“The Netflix effect” in Thailand: Industry and regulatory implications,"['Human Factors and Ergonomics', 'Information Systems', 'Electrical and Electronic Engineering']",0.3926312029361725,2.8664078916147946,3.1619572839047767
201446,True Corporation Public Company Limited,Vital role of leader as employee value proposition for employee engagement in thai perspective,['Social Sciences (all)'],0.38732248544692993,2.8388841777888576,3.1323849725257085
202091,True Corporation Public Company Limited,"Leadership, trust, proximity to government, and community-based enterprise development in rural Thailand","['Geography, Planning and Development']",0.38903242349624634,2.8477869043387667,3.1419503314493475
203872,True Corporation Public Company Limited,Assessment potential of community enterprises to enhance their sustainable competitive advantage in Thailand,"['Business, Management and Accounting (all)']",0.3709491789340973,2.75180028095087,3.0388193974117566
204312,True Corporation Public Company Limited,The never changing story: Eight decades of the government public relations department of Thailand,"['Communication', 'Organizational Behavior and Human Resource Management', 'Marketing']",0.42814627289772034,3.042081670740722,3.350706510491851
205534,True Corporation Public Company Limited,Challenges and factors affecting patent valuation: The case of Thailand 4.0,['Social Sciences (all)'],0.3760840594768524,2.7794737186868543,3.0685525766924755
208112,True Corporation Public Company Limited,Competition law in Thailand: in transition to an operational law,['Social Sciences (all)'],0.36963117122650146,2.744642685462561,3.0311290601322645
208365,True Corporation Public Company Limited,Determination of Factors in Cultural Dimensions and SERVQUAL Model Affecting the Corporate Image of Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.37545251846313477,2.7760882503520947,3.0649151270229784
208455,True Corporation Public Company Limited,The State Railway of Siam and the origin of tourism public relations in Thailand (1917–1941),"['Industrial Relations', 'Organizational Behavior and Human Resource Management']",0.3660684823989868,2.725182604970204,3.0102205605227597
209481,True Corporation Public Company Limited,"Financial effectiveness, investment efficiency, and quality of financial reporting: Evidence from ASEAN states","['Education', 'Arts and Humanities (miscellaneous)']",0.37821003794670105,2.790833309474033,3.0807576649309922
210330,True Corporation Public Company Limited,Chapter 34: Information technology issues in Thailand,"['Business, Management and Accounting (all)']",0.38149264454841614,2.808261582064484,3.0994831286203586
210436,True Corporation Public Company Limited,DETERMINANTS OF THE MARKET VALUE OF LISTED FIRMS IN THE SERVICES SECTOR: A CASE OF THAILAND,"['Economics, Econometrics and Finance (miscellaneous)']",0.4142739176750183,2.975167082232632,3.278811450847004
211818,True Corporation Public Company Limited,Thai MOOC sustainability: Alternative credentials for digital age learners,['Computer Science (all)'],0.36995548009872437,2.7464059591108003,3.033023574720739
212179,True Corporation Public Company Limited,The Impact of Wisdom and Pharmaceutical Care on the Corporate Identity of Thai Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.38348084688186646,2.818752217741857,3.110754585182419
228335,Bangkok Bank Public Company Limited,"Bangkok, Thailand",['Social Sciences (all)'],0.45130985975265503,3.149219774316621,3.073673527848246
259617,Central Pattana Public Company Limited,Master planning for conservation and development of krung rattanakosin 2032,"['Conservation', 'Urban Studies', 'Nature and Landscape Conservation', 'Management, Monitoring, Policy and Law']",0.4529404640197754,3.156553418986826,3.1758498318712163
268272,Central Pattana Public Company Limited,Influence of Building Characteristics and Building Lifespan on Condominium Operating Expenses,"['Conservation', 'Urban Studies', 'Nature and Landscape Conservation', 'Management, Monitoring, Policy and Law']",0.4333045780658722,3.066428246814531,3.086643154114017
299994,TMBThanachart Bank Public Company Limited,"Tuberculosis at a university hospital, Thailand: A surprising incidence of TB among a new generation of highly exposed health care workers who may be asymptomatic",['Multidisciplinary'],0.3571849465370178,2.675933522603668,3.082736079544573
305099,TMBThanachart Bank Public Company Limited,The conundrum of a dominant party in Thailand,"['Sociology and Political Science', 'Political Science and International Relations']",0.34981274604797363,2.6342602757948295,3.0358510169047292
306709,TMBThanachart Bank Public Company Limited,Diversification and performance of Sri Lankan banks,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.38104790449142456,2.8059082155136905,3.228965905279879
314116,CP Axtra Public Company Limited,THE INFLUENCE OF CORPORATE IMAGE AND MARKETING MIX ON CONSUMER MOTIVES: AN EMPIRICAL STUDY OF MK RESTAURANTS,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.4167611300945282,2.9873212629439867,3.159015363803997
317758,CP Axtra Public Company Limited,Optimization of Thai-Lao cross border transportation via R9 route for Thai shippers,"['Management Information Systems', 'Business and International Management', 'Strategy and Management', 'Statistics, Probability and Uncertainty', 'Management Science and Operations Research']",0.40758001804351807,2.9421086691239844,3.10894877088732
322033,CP Axtra Public Company Limited,Asean attempts at the initiatives to broaden free trade agreements in East Asia,['Social Sciences (all)'],0.3914601802825928,2.8603659037852465,3.01843014741725
322408,CP Axtra Public Company Limited,The reason why we can’t use cassava leaf for commercial purpose in Thailand,"['Computer Science (all)', 'Civil and Structural Engineering', 'Mechanics of Materials', 'Electrical and Electronic Engineering']",0.4125206768512726,2.9665577419557305,3.136022682672396
324736,CP Axtra Public Company Limited,Consumers’ perceptions towards Thai rice: A cross-cultural comparison between easterners and westerners,"['Food Science', 'Business, Management and Accounting (miscellaneous)']",0.4028913080692291,2.9186470122294086,3.0829682834689716
325235,CP Axtra Public Company Limited,Service marketing strategies and performances of tourism and hospitality enterprises: implications from a small border province in Thailand,"['Business and International Management', 'Strategy and Management', 'Marketing']",0.4029384255409241,2.9188840500595337,3.0832307695495973
325412,CP Axtra Public Company Limited,Competition law in Thailand: in transition to an operational law,['Social Sciences (all)'],0.3953246474266052,2.8802424526083974,3.040440631542071
329075,CP Axtra Public Company Limited,Identification and validation of decision factors for selecting smart food packaging technology: A case of thailand’s food industry,['Psychology (all)'],0.4337436258792877,3.0684873635954317,3.2488954121845013
329192,CP Axtra Public Company Limited,Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,"['Business and International Management', 'Strategy and Management', 'Organizational Behavior and Human Resource Management']",0.3883379399776459,2.844175400324737,3.0005014404489985
329479,CP Axtra Public Company Limited,The Impact of Wisdom and Pharmaceutical Care on the Corporate Identity of Thai Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.39650100469589233,2.886257484019204,3.0471014334023843
329733,CP Axtra Public Company Limited,"Potential development of the MICE industry in Hat Yai District, Songkhla Province","['Geography, Planning and Development', 'Tourism, Leisure and Hospitality Management', 'Nature and Landscape Conservation']",0.4214842617511749,3.010211714213452,3.184363321276862
330882,CP Axtra Public Company Limited,Airport Business Model Innovations for Local and Regional Airports: A Case of Cultural Entrepreneurship in Thailand,"['Economics, Econometrics and Finance (all)', 'Business, Management and Accounting (all)']",0.39976006746292114,2.9028362341208154,3.0654600689566553
365265,PTT Oil and Retail Business Public Company Limited,Developing a commercialisation model for innovative products and processes in a petroleum firm,"['Business and International Management', 'Strategy and Management', 'Management Science and Operations Research']",0.42799341678619385,3.0413558441856714,3.1881002204316853
372766,Minor International Public Company Limited,THE INFLUENCE OF CORPORATE IMAGE AND MARKETING MIX ON CONSUMER MOTIVES: AN EMPIRICAL STUDY OF MK RESTAURANTS,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.3470066785812378,2.6182030912948444,3.206729573436386
374380,Minor International Public Company Limited,Creating a coffee tourism network in the north of Thailand,"['Economics, Econometrics and Finance (all)']",0.32634174823760986,2.4965277071647103,3.0700817678287815
377850,Minor International Public Company Limited,Developing and validating a scale of consumer-based brand equity for SMEs: evidence from Thailand,"['Business, Management and Accounting (miscellaneous)', 'Strategy and Management']",0.3442673683166504,2.602422692117295,3.189007361711803
379288,Minor International Public Company Limited,Critical Components of Airport Business Model Framework: Evidence from Thailand,"['Computer Science (miscellaneous)', 'Geography, Planning and Development', 'Renewable Energy, Sustainability and the Environment', 'Environmental Science (miscellaneous)', 'Energy Engineering and Power Technology', 'Hardware and Architecture', 'Computer Networks and Communications', 'Management, Monitoring, Policy and Law']",0.32226938009262085,2.471817250913256,3.0423306360245657
381014,Minor International Public Company Limited,Hotel Service Quality Factors among Different Cultures,"['Industrial and Manufacturing Engineering', 'Decision Sciences (miscellaneous)']",0.36448532342910767,2.716482038334108,3.3171019593248756
383885,Minor International Public Company Limited,Service marketing strategies and performances of tourism and hospitality enterprises: implications from a small border province in Thailand,"['Business and International Management', 'Strategy and Management', 'Marketing']",0.4110117554664612,2.9591202808559656,3.589597366955039
384195,Minor International Public Company Limited,Toward A Process Model Of Consumer Brand Evaluation And Promotion: Drivers Of Word Of Mouth For Thai Small And Medium Enterprises,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.3291284739971161,2.513295501347399,3.088912875668094
384302,Minor International Public Company Limited,Measuring Smiling Curves in Community Enterprises: Evidence from the One Tambon One Product Entrepreneurship Programme in Border Thailand,['Business and International Management'],0.3469136953353882,2.617669150467094,3.206129930024878
384405,Minor International Public Company Limited,The State Railway of Siam and the origin of tourism public relations in Thailand (1917–1941),"['Industrial Relations', 'Organizational Behavior and Human Resource Management']",0.3356670141220093,2.5521927710379515,3.132596539256585
385376,Minor International Public Company Limited,The determinants of the medical tourism supply chain of Thailand,"['Management Information Systems', 'Information Systems', 'Information Systems and Management']",0.3264148235321045,2.4969688654032085,3.0705772115510057
387076,Minor International Public Company Limited,Educational investment strategies for capacity building of thailand’s tourism professions,['Social Sciences (all)'],0.326238751411438,2.495905777381173,3.06938330822851
388129,Minor International Public Company Limited,The Impact of Wisdom and Pharmaceutical Care on the Corporate Identity of Thai Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.3417368531227112,2.58775194418025,3.1725313462338045
388383,Minor International Public Company Limited,"Potential development of the MICE industry in Hat Yai District, Songkhla Province","['Geography, Planning and Development', 'Tourism, Leisure and Hospitality Management', 'Nature and Landscape Conservation']",0.36559322476387024,2.7225741749038765,3.323943746590822
389532,Minor International Public Company Limited,Airport Business Model Innovations for Local and Regional Airports: A Case of Cultural Entrepreneurship in Thailand,"['Economics, Econometrics and Finance (all)', 'Business, Management and Accounting (all)']",0.41108259558677673,2.9594700296409178,3.5899901530910294
410584,Central Retail Corporation Public Company Limited,Customers’ satisfaction toward drugstore facilities and services based on the good pharmacy practice standard in Thailand,"['Pharmacy', 'Pharmaceutical Science']",0.40545347332954407,2.9314992560029696,3.0682777697417976
411866,Central Retail Corporation Public Company Limited,THE INFLUENCE OF CORPORATE IMAGE AND MARKETING MIX ON CONSUMER MOTIVES: AN EMPIRICAL STUDY OF MK RESTAURANTS,"['Education', 'Business, Management and Accounting (all)', 'Social Sciences (miscellaneous)', 'Economics, Econometrics and Finance (all)', 'Literature and Literary Theory']",0.44884952902793884,3.1381036113848477,3.282755602750713
412222,Central Retail Corporation Public Company Limited,The Moderation Effect of Supply Chain Information Technology Capabilities on the Relationship between Customer Relationship Management with Organizational Performance of Thai Restaurants and Hotels,"['Software', 'Human-Computer Interaction', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications']",0.4490605890750885,3.1390596202301437,3.2837480441012232
413144,Central Retail Corporation Public Company Limited,When art meets mall: impact on shopper responses,"['Marketing', 'Management of Technology and Innovation']",0.4000438451766968,2.904273869338074,3.0400148518380408
415815,Central Retail Corporation Public Company Limited,Facility Location Placement Optimisation for Bagged Cement Distribution During the COVID-19 Pandemic,['Engineering (all)'],0.41351228952407837,2.9714313486051127,3.1097316329625837
416008,Central Retail Corporation Public Company Limited,Service marketing mix and service value: A way to increase customer satisfaction,"['Software', 'Human-Computer Interaction', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications']",0.46177396178245544,3.195821179295422,3.3426727272911125
417141,Central Retail Corporation Public Company Limited,"Leadership, trust, proximity to government, and community-based enterprise development in rural Thailand","['Geography, Planning and Development']",0.42729851603507996,3.0380529708304036,3.178892136089481
417823,Central Retail Corporation Public Company Limited,"Adapt or die, thai traditional textiles entrepreneurs","['Business and International Management', 'Economics and Econometrics', 'Strategy and Management']",0.39308613538742065,2.868750702247922,3.003137933706151
423211,Central Retail Corporation Public Company Limited,Collaborative cassava-chip supply chain mobile application in Thailand,"['Computer Science Applications', 'Computer Networks and Communications']",0.41497763991355896,2.978612984099369,3.1171869531344214
423415,Central Retail Corporation Public Company Limited,Determination of Factors in Cultural Dimensions and SERVQUAL Model Affecting the Corporate Image of Pharmacy Retail Stores,"['Management Information Systems', 'Finance', 'Economics and Econometrics']",0.4483034610748291,3.1356280628788373,3.280185713659575
423878,Central Retail Corporation Public Company Limited,Storage Allocation for Stocked and Buffer Baskets,"['Materials Science (all)', 'Engineering (all)']",0.3971014618873596,2.8893214398654012,3.024492600791639
424457,Central Retail Corporation Public Company Limited,Examining the mediating role supply chain identity salience in the relationship between its antecedents and supply chain social capital: A case of thai manufacturing firms,"['Management Information Systems', 'Information Systems', 'Information Systems and Management']",0.4324468672275543,3.0623996972618204,3.2041666910049345
